age,employee_turnover,business_travel_frequency,daily_rate,distance_from_home_km,education_level,education_field,remove_column,employee_id,environmental_satisfaction_level,gender,hourly_rate,job_involvement_level,job_level,job_role,job_satisfaction_level,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,overtime_hours,percent_salary_hike,performance_rating,relationship_satisfaction_level,standard_work_hours,stock_option_level,total_years_worked,training_sessions_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_current_manager,same_as_monthly_income,birth_year,annual_salary,remote_work
50,no,non-travel,654.85,1.0,3,life sciences,1,376,4.0,female,,3,2,sales executive,3,married,,13751.83,0,,,12,3.0,1,full time,1,,3,3.0,18,0,13,,1973,63470.0,yes
32,no,non-travel,290.04,29.0,4,nan,1,377,4.0,female,,3,1,laboratory technician,3,single,,6090.75,9,,no,12,3.0,2,part time,0,10.0,2,3.0,8,7,7,,1991,28111.13,yes
53,no,travel_frequently,776.39,2.0,3,marketing,1,378,3.0,female,97.05,2,3,sales executive,2,nan,,16304.17,2,,,12,3.0,1,part time,1,30.0,2,,15,6,12,,1970,75250.0,yes
40,no,travel_rarely,556.26,26.0,3,nan,1,379,3.0,male,,3,2,sales executive,1,married,4492.84,11681.39,1,,,14,3.0,2,part time,1,8.0,3,2.0,7,7,5,4492.84,1983,53914.11,no
55,no,nan,1582.77,2.0,1,nan,1,380,3.0,male,,2,4,manager,1,single,12783.92,33238.2,7,,no,15,3.0,2,nan,0,,3,4.0,9,6,2,12783.92,1968,,yes
28,yes,non-travel,1032.49,24.0,2,nan,1,381,2.0,male,,2,3,healthcare representative,1,single,8339.32,21682.23,1,,no,12,3.0,1,part time,0,10.0,2,2.0,10,1,9,8339.32,1995,100071.84,no
28,no,travel_rarely,377.62,10.0,3,other,1,382,3.0,female,,3,2,research scientist,3,single,3050.0,7930.0,3,,no,13,3.0,4,nan,0,,4,4.0,8,1,7,3050.0,1995,,yes
35,yes,nan,1032.49,4.0,3,technical degree,1,383,4.0,male,,3,3,sales executive,1,nan,,21682.23,0,,,22,4.0,1,part time,0,9.0,2,3.0,8,4,7,,1988,100071.84,yes
33,yes,travel_frequently,556.26,,4,medical,1,384,,female,69.53,2,2,research scientist,3,single,4492.84,11681.39,1,,no,22,4.0,2,part time,0,14.0,4,3.0,13,3,8,4492.84,1990,53914.11,yes
25,yes,nan,290.04,4.0,1,technical degree,1,385,4.0,male,,3,1,laboratory technician,4,married,,6090.75,1,,,15,,2,part time,1,7.0,3,4.0,7,5,6,,1998,28111.13,yes
38,no,nan,901.75,10.0,4,nan,1,386,3.0,male,,2,3,sales executive,3,nan,7283.33,18936.67,0,,yes,14,3.0,2,part time,2,9.0,2,,8,2,7,7283.33,1985,87400.0,yes
28,no,nan,1032.49,,3,nan,1,387,,female,,3,3,manufacturing director,2,nan,,21682.23,0,,,17,3.0,2,part time,3,,3,2.0,9,1,7,,1995,100071.84,yes
43,no,travel_frequently,1032.49,27.0,3,life sciences,1,388,3.0,female,129.06,3,3,manufacturing director,1,married,,21682.23,8,,no,11,3.0,3,part time,1,18.0,1,3.0,8,0,1,,1980,100071.84,no
39,yes,travel_frequently,1582.77,2.0,3,life sciences,1,389,1.0,male,197.85,3,4,healthcare representative,4,nan,12783.92,33238.2,7,,no,11,3.0,4,full time,3,21.0,4,3.0,18,11,5,12783.92,1984,153407.07,no
40,no,travel_rarely,1973.98,14.0,3,nan,1,390,3.0,male,,2,5,research director,3,nan,,41453.67,1,,no,14,,1,full time,0,,2,,20,4,9,,1983,191324.62,yes
29,no,travel_rarely,556.26,8.0,1,medical,1,391,2.0,male,,2,2,manufacturing director,4,married,4492.84,11681.39,1,,,15,3.0,3,nan,1,10.0,2,2.0,10,1,2,4492.84,1994,,yes
40,no,nan,1392.75,,4,nan,1,392,2.0,female,,3,3,research director,3,nan,11249.17,29247.83,9,,no,17,3.0,3,full time,0,20.0,3,2.0,18,2,13,11249.17,1983,134990.0,no
26,no,travel_rarely,290.04,3.0,4,nan,1,393,1.0,male,,4,1,laboratory technician,4,nan,2342.59,6090.75,1,,,22,4.0,2,part time,1,8.0,2,3.0,8,0,7,2342.59,1997,28111.13,yes
35,no,travel_rarely,1032.49,2.0,3,nan,1,394,3.0,male,,2,3,manufacturing director,2,divorced,8339.32,21682.23,2,,no,18,3.0,2,nan,1,15.0,2,4.0,7,6,4,8339.32,1988,,yes
53,no,nan,1973.98,7.0,2,medical,1,395,4.0,female,,3,5,manager,3,divorced,15943.72,41453.67,3,,no,18,3.0,2,full time,1,26.0,6,3.0,7,4,7,15943.72,1970,191324.62,no
35,no,nan,556.26,17.0,4,life sciences,1,396,3.0,male,,3,2,sales executive,1,nan,,11681.39,3,,,15,3.0,4,part time,3,15.0,2,3.0,7,1,7,,1988,53914.11,yes
33,no,nan,556.26,25.0,3,medical,1,397,2.0,female,,3,2,sales executive,3,nan,4492.84,11681.39,1,,no,12,3.0,1,part time,1,,3,2.0,10,0,1,4492.84,1990,53914.11,yes
36,no,nan,290.04,6.0,4,life sciences,1,398,3.0,male,,1,1,laboratory technician,3,divorced,,6090.75,1,,no,14,3.0,3,part time,1,,4,3.0,7,1,7,,1987,28111.13,yes
30,no,travel_rarely,360.18,7.0,4,life sciences,1,399,3.0,male,45.02,3,2,laboratory technician,3,divorced,2909.17,7563.83,1,,,13,,1,part time,3,,4,2.0,10,8,9,2909.17,1993,34910.0,yes
60,no,nan,538.57,,4,nan,1,400,,male,,4,2,sales executive,4,divorced,4350.0,11310.0,0,,,18,3.0,2,nan,1,12.0,3,3.0,11,1,9,4350.0,1963,,yes
32,no,nan,556.26,2.0,2,life sciences,1,401,4.0,female,69.53,3,2,research scientist,3,single,,11681.39,4,,yes,14,3.0,4,part time,0,10.0,2,3.0,8,0,7,,1991,53914.11,no
36,no,nan,1057.75,1.0,3,technical degree,1,402,3.0,female,,1,3,manufacturing director,1,divorced,8543.33,22212.67,2,,yes,21,4.0,3,full time,1,17.0,2,3.0,7,7,7,8543.33,1987,102520.0,yes
27,no,travel_rarely,290.04,14.0,3,nan,1,403,1.0,male,,3,1,research scientist,1,nan,2342.59,6090.75,1,,,14,3.0,4,nan,2,,3,2.0,9,6,8,2342.59,1996,,yes
43,no,nan,2036.67,3.0,3,life sciences,1,404,3.0,male,,1,5,research director,4,nan,16450.0,42770.0,3,,no,14,3.0,2,full time,1,,2,3.0,8,0,7,16450.0,1980,197400.0,yes
29,no,travel_rarely,1582.77,1.0,3,nan,1,405,4.0,female,,2,4,research director,4,divorced,,33238.2,3,,no,14,3.0,2,full time,2,9.0,2,2.0,7,1,7,,1994,153407.07,yes
59,no,nan,1032.49,,4,nan,1,406,,male,,3,3,manufacturing director,4,single,8339.32,21682.23,6,,no,12,3.0,4,part time,0,,6,2.0,9,5,4,8339.32,1964,100071.84,no
43,no,travel_rarely,1032.49,4.0,4,marketing,1,407,4.0,female,,2,3,sales executive,4,single,8339.32,21682.23,3,,no,14,3.0,4,part time,0,23.0,3,4.0,21,15,17,8339.32,1980,100071.84,yes
44,yes,travel_rarely,1032.49,15.0,3,medical,1,408,1.0,female,129.06,3,3,healthcare representative,4,married,8339.32,21682.23,1,,,11,3.0,4,part time,1,,2,3.0,10,0,5,8339.32,1979,100071.84,yes
29,yes,nan,290.04,7.0,3,technical degree,1,409,2.0,female,,3,1,laboratory technician,3,divorced,2342.59,6090.75,3,,yes,13,3.0,1,nan,2,10.0,2,3.0,7,7,7,2342.59,1994,,yes
32,no,travel_rarely,640.61,8.0,3,nan,1,410,3.0,male,,4,2,sales executive,4,married,5174.17,13452.83,1,,,15,3.0,3,full time,2,,4,4.0,10,0,8,5174.17,1991,62090.0,no
36,no,travel_rarely,731.92,10.0,4,technical degree,1,411,4.0,female,,3,3,healthcare representative,3,married,,15370.33,3,,no,12,3.0,1,part time,0,,0,3.0,7,1,7,,1987,70940.0,yes
52,yes,nan,1032.49,5.0,3,nan,1,412,2.0,male,,3,3,sales executive,2,single,8339.32,21682.23,9,,yes,19,3.0,3,part time,0,,2,2.0,8,7,7,8339.32,1971,100071.84,yes
39,no,travel_rarely,467.79,,2,nan,1,413,1.0,male,,3,2,manufacturing director,3,single,3778.33,9823.67,0,,,11,3.0,1,nan,0,,6,,8,1,7,3778.33,1984,45340.0,yes
34,no,nan,876.98,9.0,3,nan,1,414,4.0,male,,3,3,healthcare representative,4,nan,7083.33,18416.67,0,,,11,,4,part time,1,10.0,0,2.0,9,1,6,7083.33,1989,85000.0,yes
38,no,nan,556.26,2.0,2,life sciences,1,415,2.0,female,,3,2,sales executive,1,nan,,11681.39,3,,,15,3.0,4,nan,1,11.0,3,3.0,7,1,7,,1985,53914.11,yes
36,no,travel_frequently,478.63,,3,marketing,1,416,,female,,4,2,sales executive,1,marreid,3865.83,10051.17,2,,no,16,3.0,4,part time,1,,2,2.0,15,6,13,3865.83,1987,46390.0,yes
35,no,nan,553.33,1.0,3,nan,1,417,4.0,female,,2,2,laboratory technician,4,nan,4469.17,11619.83,0,,no,12,3.0,2,part time,1,10.0,0,3.0,9,0,0,4469.17,1988,53630.0,no
55,yes,nan,1582.77,13.0,4,nan,1,418,1.0,male,,4,4,sales executive,3,nan,12783.92,33238.2,6,,,17,3.0,3,full time,0,,2,2.0,19,3,8,12783.92,1968,153407.07,yes
34,no,nan,556.26,29.0,3,nan,1,419,2.0,male,,3,2,laboratory technician,3,nan,4492.84,11681.39,4,,,13,3.0,1,part time,2,10.0,1,3.0,8,7,7,4492.84,1989,53914.11,no
43,no,nan,421.06,6.0,3,medical,1,420,1.0,female,,2,2,research scientist,3,single,3400.83,8842.17,1,,yes,14,3.0,1,part time,0,20.0,3,1.0,20,1,8,3400.83,1980,40810.0,no
42,no,travel_rarely,1582.77,10.0,3,human resources,1,421,3.0,female,,3,4,manager,1,married,12783.92,33238.2,0,,,14,3.0,3,full time,1,21.0,5,3.0,20,0,9,12783.92,1981,153407.07,no
26,no,travel_rarely,369.16,7.0,3,nan,1,422,3.0,male,,4,1,laboratory technician,1,single,,7752.33,0,,no,12,3.0,4,full time,0,8.0,2,3.0,7,0,7,,1997,35780.0,yes
29,yes,nan,1032.49,14.0,1,other,1,423,3.0,female,,3,3,healthcare representative,4,single,8339.32,21682.23,0,,yes,12,3.0,1,part time,0,,1,3.0,8,7,7,8339.32,1994,100071.84,yes
54,no,nan,1787.81,1.0,3,nan,1,424,4.0,female,223.48,3,4,research director,4,nan,,37544.0,6,,,19,3.0,4,full time,0,29.0,3,2.0,20,12,7,,1969,173280.0,no
55,no,nan,1582.77,1.0,4,nan,1,425,2.0,male,,4,4,research director,4,divorced,12783.92,33238.2,2,,no,13,3.0,4,full time,2,31.0,4,4.0,7,0,0,12783.92,1968,153407.07,yes
40,no,non-travel,556.26,9.0,4,other,1,426,3.0,male,,3,2,laboratory technician,3,nan,4492.84,11681.39,3,,no,11,3.0,3,part time,2,11.0,2,,8,0,7,4492.84,1983,53914.11,yes
31,no,nan,1113.56,8.0,2,nan,1,427,1.0,male,,3,3,sales executive,4,divorced,8994.17,23384.83,1,,,18,,1,full time,1,13.0,5,3.0,13,9,9,8994.17,1992,107930.0,yes
46,yes,nan,1032.49,9.0,3,marketing,1,428,1.0,male,,3,3,sales executive,4,divorced,8339.32,21682.23,4,,no,11,3.0,1,nan,1,28.0,1,4.0,7,4,3,8339.32,1977,,yes
45,no,travel_rarely,1119.55,20.0,3,medical,1,429,2.0,male,,1,3,healthcare representative,1,nan,9042.5,23510.5,2,,yes,18,3.0,2,full time,1,,2,3.0,7,0,7,9042.5,1978,108510.0,no
49,no,travel_rarely,1079.83,7.0,4,life sciences,1,430,3.0,male,134.98,3,3,healthcare representative,2,divorced,,22676.33,3,,,14,3.0,2,full time,2,29.0,3,3.0,8,0,7,,1974,104660.0,no
29,no,travel_rarely,556.26,19.0,3,nan,1,431,3.0,male,69.53,2,2,sales executive,3,nan,4492.84,11681.39,1,,,14,3.0,3,part time,2,10.0,3,3.0,10,0,4,4492.84,1994,53914.11,yes
29,yes,nan,243.7,1.0,4,technical degree,1,432,1.0,male,,2,1,research scientist,1,single,,5117.67,6,,no,13,3.0,3,part time,0,,2,1.0,9,0,7,,1994,23620.0,yes
29,no,nan,556.26,8.0,1,other,1,433,3.0,female,,1,2,healthcare representative,1,nan,,11681.39,3,,no,13,3.0,3,part time,1,9.0,3,3.0,7,0,7,,1994,53914.11,yes
40,no,travel_rarely,1582.77,6.0,2,nan,1,434,3.0,male,197.85,3,4,manager,4,single,12783.92,33238.2,1,,yes,21,4.0,4,full time,0,21.0,2,3.0,21,7,7,12783.92,1983,153407.07,yes
48,no,nan,664.34,16.0,4,life sciences,1,435,3.0,female,,3,2,sales executive,3,divorced,,13951.17,8,,no,14,3.0,3,full time,1,18.0,2,,8,7,7,,1975,64390.0,yes
53,yes,nan,1032.49,2.0,5,nan,1,436,3.0,female,,2,3,manufacturing director,4,married,,21682.23,0,,,16,3.0,2,part time,1,,4,3.0,33,1,9,,1970,100071.84,yes
44,no,nan,1973.98,7.0,3,medical,1,437,2.0,female,,3,5,research director,4,nan,,41453.67,0,,yes,14,,4,nan,1,,4,2.0,22,1,10,,1979,191324.62,no
45,no,nan,595.21,5.0,5,nan,1,438,3.0,female,74.4,1,2,laboratory technician,1,nan,,12499.5,1,,,14,3.0,1,full time,0,10.0,3,3.0,10,1,4,,1978,57690.0,no
45,no,non-travel,452.42,26.0,3,marketing,1,439,1.0,male,,2,2,sales executive,1,nan,3654.17,9500.83,1,,,15,,1,nan,1,10.0,2,,10,4,5,3654.17,1978,,no
34,no,travel_frequently,556.26,10.0,4,nan,1,440,3.0,male,,4,2,manufacturing director,4,nan,4492.84,11681.39,1,,,13,3.0,1,part time,1,9.0,3,,9,7,2,4492.84,1989,53914.11,yes
39,no,nan,556.26,10.0,5,medical,1,441,2.0,male,,3,2,manufacturing director,1,nan,4492.84,11681.39,2,,,13,3.0,4,nan,3,,3,3.0,7,7,7,4492.84,1984,,no
27,no,nan,419.51,,3,nan,1,442,,male,,2,1,laboratory technician,1,divorced,3388.33,8809.67,1,,no,11,3.0,1,full time,2,7.0,3,3.0,7,0,7,3388.33,1996,40660.0,yes
45,no,travel_rarely,556.26,2.0,2,nan,1,443,4.0,female,,2,2,manufacturing director,4,divorced,4492.84,11681.39,1,,,19,3.0,1,nan,2,10.0,3,3.0,10,3,9,4492.84,1978,,yes
44,no,nan,556.26,1.0,5,nan,1,444,1.0,male,,3,2,human resources,4,married,4492.84,11681.39,4,,yes,11,3.0,3,nan,0,14.0,3,3.0,10,0,2,4492.84,1979,,yes
25,no,nan,537.13,2.0,1,life sciences,1,445,4.0,male,67.14,4,2,manufacturing director,3,divorced,4338.33,11279.67,1,,,17,3.0,3,part time,2,7.0,6,3.0,7,0,7,4338.33,1998,52060.0,no
49,no,nan,1582.77,1.0,3,nan,1,446,3.0,male,,3,4,manager,3,single,12783.92,33238.2,4,,,14,3.0,1,full time,0,23.0,2,3.0,8,0,0,12783.92,1974,153407.07,yes
48,yes,travel_frequently,273.93,7.0,2,nan,1,447,4.0,female,,3,1,sales representative,3,nan,2212.5,5752.5,2,,,11,,3,nan,2,19.0,3,3.0,9,7,7,2212.5,1975,,no
26,no,nan,265.16,7.0,3,medical,1,448,4.0,male,,3,1,laboratory technician,4,nan,2141.67,5568.33,1,,no,20,4.0,3,part time,0,7.0,5,3.0,7,5,7,2141.67,1997,25700.0,yes
44,no,travel_rarely,1032.49,2.0,3,life sciences,1,449,3.0,female,129.06,4,3,healthcare representative,4,nan,8339.32,21682.23,1,,,19,,2,part time,1,,2,3.0,8,6,7,8339.32,1979,100071.84,yes
36,no,nan,464.49,2.0,4,nan,1,450,3.0,female,58.06,3,2,sales representative,4,single,3751.67,9754.33,3,,,15,,3,part time,0,17.0,2,2.0,13,6,7,3751.67,1987,45020.0,yes
46,no,nan,556.26,13.0,4,nan,1,451,3.0,male,69.53,3,2,healthcare representative,2,single,4492.84,11681.39,6,,no,14,3.0,4,part time,0,19.0,3,3.0,10,0,9,4492.84,1977,53914.11,yes
35,no,nan,556.26,27.0,4,life sciences,1,452,4.0,male,,3,2,manufacturing director,3,married,4492.84,11681.39,2,,,16,3.0,2,part time,1,17.0,3,3.0,7,0,7,4492.84,1988,53914.11,yes
30,no,travel_frequently,512.57,2.0,4,nan,1,453,4.0,female,,2,1,research scientist,1,nan,4140.0,10764.0,0,,,16,3.0,4,nan,0,10.0,2,,9,0,7,4140.0,1993,49680.0,no
30,no,nan,1032.49,15.0,2,marketing,1,454,3.0,male,,2,3,sales executive,1,nan,8339.32,21682.23,2,,no,11,3.0,1,part time,1,,2,3.0,7,1,7,8339.32,1993,100071.84,yes
33,no,non-travel,531.04,2.0,3,marketing,1,455,4.0,female,,3,2,sales executive,2,nan,4289.17,11151.83,8,,no,15,3.0,4,part time,0,13.0,2,2.0,11,1,7,4289.17,1990,51470.0,yes
32,no,nan,280.43,5.0,4,nan,1,456,2.0,male,35.05,3,1,research scientist,2,single,2265.0,5889.0,2,,no,14,3.0,2,part time,0,12.0,3,3.0,7,0,7,2265.0,1991,27180.0,yes
43,no,travel_rarely,365.13,2.0,3,life sciences,1,457,2.0,male,,3,1,human resources,4,nan,2949.17,7667.83,0,,no,13,3.0,2,nan,0,,5,3.0,9,1,8,2949.17,1980,,no
31,no,travel_rarely,564.16,29.0,4,marketing,1,458,1.0,female,,2,2,sales executive,4,nan,4556.67,11847.33,1,,,14,3.0,1,full time,2,,3,3.0,12,5,7,4556.67,1992,54680.0,yes
35,yes,nan,599.75,27.0,3,nan,1,459,3.0,male,,3,2,sales executive,4,nan,4844.17,12594.83,1,,,18,3.0,4,nan,0,,2,3.0,10,7,7,4844.17,1988,,no
35,no,non-travel,556.26,2.0,2,medical,1,460,2.0,male,,3,2,manufacturing director,4,divorced,4492.84,11681.39,2,,no,14,3.0,3,nan,1,15.0,6,3.0,7,1,7,4492.84,1988,53914.11,no
30,no,nan,997.39,10.0,3,medical,1,461,1.0,female,,3,3,manufacturing director,3,single,8055.83,20945.17,9,,no,14,3.0,2,part time,0,9.0,3,3.0,7,0,2,8055.83,1993,96670.0,no
46,yes,travel_rarely,556.26,,2,medical,1,462,4.0,female,,3,2,healthcare representative,2,married,4492.84,11681.39,4,,no,22,4.0,4,nan,1,13.0,2,4.0,9,3,7,4492.84,1977,,no
45,no,non-travel,531.76,2.0,4,nan,1,463,3.0,female,,3,2,sales executive,3,married,,11167.0,4,,,22,4.0,2,part time,2,10.0,3,4.0,8,5,7,,1978,51540.0,no
43,no,travel_frequently,585.52,2.0,4,life sciences,1,464,1.0,male,73.19,3,2,sales executive,4,married,4729.17,12295.83,1,,,20,4.0,3,full time,1,7.0,5,3.0,7,7,7,4729.17,1980,56750.0,no
46,yes,nan,754.62,10.0,3,life sciences,1,465,3.0,female,,3,3,sales executive,2,nan,6095.0,15847.0,5,,,21,4.0,3,part time,3,14.0,2,3.0,8,0,7,6095.0,1977,73140.0,yes
40,no,travel_rarely,1582.77,1.0,4,nan,1,466,1.0,male,,3,4,manager,1,nan,12783.92,33238.2,2,,,11,3.0,1,nan,1,22.0,3,,19,11,16,12783.92,1983,,yes
27,no,travel_rarely,556.26,2.0,2,nan,1,467,1.0,female,,4,2,sales executive,3,single,4492.84,11681.39,0,,no,14,3.0,2,part time,0,9.0,5,2.0,8,0,7,4492.84,1996,53914.11,no
42,no,nan,1032.49,6.0,3,medical,1,468,3.0,male,,3,3,research director,1,married,8339.32,21682.23,9,,no,13,3.0,2,nan,1,18.0,3,4.0,13,5,7,8339.32,1981,,yes
26,no,travel_frequently,290.04,6.0,3,other,1,469,3.0,male,36.25,4,1,laboratory technician,4,married,2342.59,6090.75,0,,no,18,3.0,1,part time,1,8.0,3,3.0,7,7,7,2342.59,1997,28111.13,yes
28,no,travel_frequently,556.26,1.0,2,life sciences,1,470,3.0,male,69.53,2,2,sales executive,4,married,,11681.39,1,,,12,3.0,3,part time,1,7.0,2,3.0,7,0,7,,1995,53914.11,yes
47,no,nan,556.26,14.0,4,nan,1,471,3.0,male,69.53,3,2,research scientist,2,married,4492.84,11681.39,8,,,18,3.0,3,part time,1,,4,4.0,8,1,7,4492.84,1976,53914.11,no
34,no,travel_rarely,1032.49,13.0,4,medical,1,472,4.0,male,,3,3,sales executive,3,divorced,8339.32,21682.23,1,,no,18,3.0,3,part time,1,9.0,2,2.0,8,1,1,8339.32,1989,100071.84,yes
26,no,nan,290.04,1.0,3,medical,1,473,3.0,male,,3,1,laboratory technician,1,single,2342.59,6090.75,0,,no,13,3.0,4,part time,0,8.0,6,,7,7,6,2342.59,1997,28111.13,yes
27,no,travel_rarely,556.26,9.0,3,nan,1,474,4.0,male,,3,2,sales executive,4,nan,,11681.39,1,,,14,3.0,1,part time,0,,5,,7,0,7,,1996,53914.11,no
31,yes,travel_frequently,556.26,26.0,4,marketing,1,475,1.0,male,,3,2,sales executive,4,nan,4492.84,11681.39,1,,yes,11,3.0,3,part time,0,10.0,4,3.0,10,0,8,4492.84,1992,53914.11,yes
33,no,travel_frequently,556.26,7.0,2,life sciences,1,476,4.0,male,,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,,,20,,3,nan,3,9.0,2,3.0,9,2,8,4492.84,1990,,yes
31,no,nan,1032.49,10.0,3,nan,1,477,3.0,female,,3,3,research director,3,married,8339.32,21682.23,4,,no,20,4.0,3,part time,1,13.0,2,4.0,11,4,8,8339.32,1992,100071.84,yes
35,no,nan,525.98,9.0,4,medical,1,478,2.0,male,,3,2,research scientist,3,nan,,11045.67,1,,no,19,3.0,2,part time,0,10.0,5,3.0,10,0,8,,1988,50980.0,yes
33,no,travel_rarely,556.26,15.0,2,nan,1,479,2.0,female,,3,2,healthcare representative,4,married,4492.84,11681.39,0,,yes,13,,1,part time,1,,6,3.0,9,8,1,4492.84,1990,53914.11,yes
39,no,travel_rarely,556.26,24.0,1,life sciences,1,480,1.0,male,,3,2,research scientist,4,single,4492.84,11681.39,7,,no,13,,1,nan,0,,2,3.0,7,1,7,4492.84,1984,,no
36,no,travel_rarely,1032.49,,3,nan,1,481,,female,129.06,2,3,sales executive,4,marreid,,21682.23,0,,no,19,3.0,3,part time,2,10.0,2,3.0,9,3,4,,1987,100071.84,yes
41,no,travel_rarely,1400.08,28.0,4,life sciences,1,482,1.0,female,,2,4,manufacturing director,2,married,11308.33,29401.67,0,,no,23,,3,full time,1,21.0,3,3.0,20,0,10,11308.33,1982,135700.0,yes
34,no,nan,692.51,28.0,3,marketing,1,483,4.0,female,,2,2,sales executive,3,married,,14542.67,1,,no,21,4.0,4,full time,2,8.0,2,3.0,8,1,7,,1989,67120.0,no
38,no,travel_rarely,556.26,10.0,2,nan,1,484,1.0,female,,3,2,sales executive,4,married,4492.84,11681.39,1,,no,11,3.0,3,nan,1,10.0,1,3.0,10,1,9,4492.84,1985,,yes
39,no,travel_rarely,1030.82,6.0,1,nan,1,485,4.0,male,,2,3,healthcare representative,1,nan,8325.83,21647.17,4,,,15,3.0,1,part time,1,,5,3.0,7,1,7,8325.83,1984,99910.0,yes
34,no,travel_rarely,1032.49,7.0,4,nan,1,486,1.0,female,,3,3,research director,2,single,,21682.23,0,,no,11,,3,part time,0,,4,3.0,12,2,11,,1989,100071.84,no
44,no,travel_rarely,1057.33,7.0,4,medical,1,487,1.0,female,,2,3,healthcare representative,4,married,8540.0,22204.0,3,,,14,,4,full time,1,24.0,4,3.0,22,5,17,8540.0,1979,102480.0,yes
46,no,nan,556.26,5.0,4,nan,1,488,1.0,male,,3,2,sales executive,4,single,4492.84,11681.39,4,,,21,,3,part time,0,14.0,4,3.0,9,0,8,4492.84,1977,53914.11,yes
41,no,travel_frequently,1582.77,10.0,3,life sciences,1,489,4.0,male,197.85,2,4,manager,1,divorced,,33238.2,4,,,13,3.0,2,full time,1,,2,2.0,7,7,7,,1982,153407.07,no
39,no,nan,1128.52,2.0,4,nan,1,490,3.0,female,,3,3,healthcare representative,3,single,9115.0,23699.0,0,,no,25,4.0,4,nan,0,20.0,1,3.0,19,11,8,9115.0,1984,,no
42,no,travel_rarely,267.53,2.0,3,medical,1,491,4.0,female,,2,1,laboratory technician,1,divorced,2160.83,5618.17,0,,yes,11,3.0,3,part time,1,10.0,4,3.0,9,7,8,2160.83,1981,25930.0,yes
33,no,travel_frequently,1225.51,5.0,4,nan,1,492,4.0,female,,3,3,manager,2,married,9898.33,25735.67,6,,,11,,2,nan,2,12.0,2,3.0,10,8,8,9898.33,1990,,yes
35,no,travel_rarely,835.2,5.0,4,technical degree,1,493,3.0,male,,3,3,manufacturing director,2,single,6745.83,17539.17,0,,no,13,3.0,4,part time,0,17.0,5,3.0,16,0,13,6745.83,1988,80950.0,yes
33,yes,travel_rarely,1032.49,15.0,1,medical,1,494,2.0,male,,3,3,manager,3,married,,21682.23,7,,,12,3.0,4,part time,0,15.0,2,4.0,7,7,7,,1990,100071.84,yes
40,no,travel_rarely,1582.77,6.0,3,life sciences,1,495,2.0,female,,3,4,manufacturing director,3,single,,33238.2,7,,no,15,3.0,3,full time,0,22.0,3,3.0,20,5,13,,1983,153407.07,no
41,no,travel_rarely,1973.98,10.0,4,human resources,1,496,2.0,male,,2,5,manager,4,divorced,15943.72,41453.67,3,,no,15,3.0,2,full time,3,23.0,2,2.0,21,12,6,15943.72,1982,191324.62,no
27,no,nan,556.26,7.0,3,nan,1,497,4.0,female,,2,2,healthcare representative,1,nan,,11681.39,8,,no,19,3.0,1,part time,0,,2,1.0,7,0,7,,1996,53914.11,no
52,no,travel_rarely,1739.11,3.0,4,marketing,1,498,3.0,male,,2,4,manager,1,nan,14046.67,36521.33,1,,,11,3.0,1,full time,0,,3,4.0,34,1,16,14046.67,1971,168560.0,yes
51,no,travel_rarely,1582.77,26.0,4,marketing,1,499,1.0,female,197.85,3,4,manager,3,married,12783.92,33238.2,2,,no,14,3.0,3,full time,1,,2,2.0,20,4,17,12783.92,1972,153407.07,no
47,no,travel_rarely,468.1,2.0,2,marketing,1,500,3.0,female,,3,2,sales executive,4,nan,3780.83,9830.17,0,,,22,4.0,1,part time,1,8.0,2,3.0,7,7,7,3780.83,1976,45370.0,yes
50,no,non-travel,1849.3,2.0,4,nan,1,501,1.0,male,,3,4,manager,1,divorced,,38835.33,1,,,11,3.0,4,full time,1,31.0,3,3.0,31,14,7,,1973,179240.0,no
35,no,travel_rarely,414.14,21.0,1,life sciences,1,502,4.0,female,,3,2,healthcare representative,4,married,3345.0,8697.0,1,,,25,4.0,4,part time,1,10.0,2,1.0,10,0,7,3345.0,1988,40140.0,yes
39,no,travel_rarely,1314.65,1.0,1,nan,1,503,4.0,female,164.33,2,4,manufacturing director,4,married,10618.33,27607.67,1,,no,16,3.0,3,full time,1,,3,3.0,21,11,8,10618.33,1984,127420.0,yes
39,no,travel_frequently,1032.49,22.0,3,medical,1,504,4.0,female,,3,3,manufacturing director,1,single,8339.32,21682.23,1,,,13,3.0,3,part time,0,,2,3.0,21,2,8,8339.32,1984,100071.84,no
41,no,nan,348.32,7.0,2,nan,1,505,2.0,female,43.54,4,1,research scientist,3,nan,,7314.67,1,,no,13,3.0,3,full time,0,,3,3.0,10,0,8,,1982,33760.0,no
44,yes,nan,1081.48,1.0,2,medical,1,506,2.0,male,,2,3,human resources,1,married,8735.0,22711.0,9,,no,14,,4,full time,1,24.0,1,3.0,20,3,6,8735.0,1979,104820.0,yes
42,no,nan,1582.77,2.0,2,medical,1,507,4.0,male,,3,4,manager,1,nan,12783.92,33238.2,0,,no,17,3.0,4,nan,1,23.0,3,3.0,22,13,7,12783.92,1981,,no
52,no,travel_rarely,1032.49,7.0,4,life sciences,1,508,2.0,male,,3,3,healthcare representative,2,single,,21682.23,7,,,19,3.0,4,part time,0,18.0,4,,8,4,0,,1971,100071.84,yes
